rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w;g1f3
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b;g8f6
rnbqkb1r/pppppppp/5n2/8/8/5N2/PPPPPPPP/RNBQKB1R w;c2c4
rnbqkb1r/pppppppp/5n2/8/2P5/5N2/PP1PPPPP/RNBQKB1R b;e7e6
rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N2/PP1PPPPP/RNBQKB1R w;h2h3
rnbqkb1r/pppp1ppp/4pn2/8/2P5/5N1P/PP1PPPP1/RNBQKB1R b;d7d5
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/5N1P/PP1PPPP1/RNBQKB1R w;e2e3
rnbqkb1r/ppp2ppp/4pn2/3p4/2P5/4PN1P/PP1P1PP1/RNBQKB1R b;f8d6
rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/4PN1P/PP1P1PP1/RNBQKB1R w;d1c2
rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/4PN1P/PPQP1PP1/RNB1KB1R b;e8g8
rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/2N1PN1P/PP1P1PP1/R1BQKB1R b;e8g8
rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/1P2PN1P/P2P1PP1/RNBQKB1R b;e8g8
rnbqk2r/ppp2ppp/3bpn2/3p4/2PP4/4PN1P/PP3PP1/RNBQKB1R b;a7a6
rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/P3PN1P/1P1P1PP1/RNBQKB1R b;e8g8
rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/4PN1P/PP1PBPP1/RNBQK2R b;d5c4
rnbqk2r/ppp2ppp/3bpn2/3P4/8/4PN1P/PP1P1PP1/RNBQKB1R b;e6d5
rnbqk2r/ppp2ppp/3bpn2/3p4/P1P5/4PN1P/1P1P1PP1/RNBQKB1R b;f6e4
rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/4PNPP/PP1P1P2/RNBQKB1R b;d5c4
